Pay Grade,Sex,MaritalStatus,Count,,
E-1,M,A,"9,456",,
E-2,M,A,"21,600",,
E-3,M,A,"38,335",,
E-4,M,A,"50,758",,
E-5,M,A,"17,020",,
E-6,M,A,"7,497",,
E-7,M,A,"2,146",,A=Single Without Children
E-8,M,A,460,,B=Single With Children
E-9,M,A,134,,C=Joint Service Marriage
O-1,M,A,"3,908",,D=Civilian Marriage
O-2,M,A,"4,452",,
O-3,M,A,"5,743",,
O-4,M,A,"1,222",,
O-5,M,A,399,,
O-6,M,A,130,,
O-7,M,A,2,,
O-8,M,A,1,,
O-9,M,A,1,,
O-10,M,A,0,,
W-1,M,A,328,,
W-2,M,A,609,,
W-3,M,A,191,,
W-4,M,A,101,,
W-5,M,A,20,,
E-1,M,B,365,,
E-2,M,B,997,,
E-3,M,B,"2,613",,
E-4,M,B,"7,010",,
E-5,M,B,"4,414",,
E-6,M,B,"4,138",,
E-7,M,B,"2,998",,
E-8,M,B,951,,
E-9,M,B,249,,
O-1,M,B,248,,
O-2,M,B,236,,
O-3,M,B,656,,
O-4,M,B,496,,
O-5,M,B,294,,
O-6,M,B,103,,
O-7,M,B,3,,
O-8,M,B,0,,
O-9,M,B,0,,
O-10,M,B,0,,
W-1,M,B,140,,
W-2,M,B,293,,
W-3,M,B,220,,
W-4,M,B,127,,
W-5,M,B,20,,
E-1,M,C,40,,
E-2,M,C,130,,
E-3,M,C,680,,
E-4,M,C,"3,029",,
E-5,M,C,"2,915",,
E-6,M,C,"2,598",,
E-7,M,C,"1,880",,
E-8,M,C,617,,
E-9,M,C,158,,
O-1,M,C,101,,
O-2,M,C,285,,
O-3,M,C,"1,000",,
O-4,M,C,614,,
O-5,M,C,298,,
O-6,M,C,122,,
O-7,M,C,2,,
O-8,M,C,2,,
O-9,M,C,0,,
O-10,M,C,0,,
W-1,M,C,88,,
W-2,M,C,247,,
W-3,M,C,141,,
W-4,M,C,100,,
W-5,M,C,11,,
E-1,M,D,"2,579",,
E-2,M,D,"6,808",,
E-3,M,D,"18,419",,
E-4,M,D,"58,317",,
E-5,M,D,"49,821",,
E-6,M,D,"44,045",,
E-7,M,D,"29,292",,
E-8,M,D,"9,221",,
E-9,M,D,"2,729",,
O-1,M,D,"2,396",,
O-2,M,D,"3,778",,
O-3,M,D,"13,794",,
O-4,M,D,"11,785",,
O-5,M,D,"7,589",,
O-6,M,D,"3,666",,
O-7,M,D,136,,
O-8,M,D,99,,
O-9,M,D,52,,
O-10,M,D,10,,
W-1,M,D,"1,985",,
W-2,M,D,"4,139",,
W-3,M,D,"2,822",,
W-4,M,D,"1,967",,
W-5,M,D,504,,
E-1,F,A,"1,309",,
E-2,F,A,"3,324",,
E-3,F,A,"5,651",,
E-4,F,A,"6,333",,
E-5,F,A,"2,678",,
E-6,F,A,"1,640",,
E-7,F,A,829,,
E-8,F,A,194,,
E-9,F,A,88,,
O-1,F,A,898,,
O-2,F,A,"1,099",,
O-3,F,A,"2,037",,
O-4,F,A,681,,
O-5,F,A,294,,
O-6,F,A,123,,
O-7,F,A,4,,
O-8,F,A,1,,
O-9,F,A,0,,
O-10,F,A,0,,
W-1,F,A,65,,
W-2,F,A,138,,
W-3,F,A,58,,
W-4,F,A,39,,
W-5,F,A,9,,
E-1,F,B,80,,
E-2,F,B,167,,
E-3,F,B,699,,
E-4,F,B,"2,599",,
E-5,F,B,"2,280",,
E-6,F,B,"2,003",,
E-7,F,B,"1,350",,
E-8,F,B,291,,
E-9,F,B,64,,
O-1,F,B,131,,
O-2,F,B,192,,
O-3,F,B,473,,
O-4,F,B,223,,
O-5,F,B,128,,
O-6,F,B,42,,
O-7,F,B,1,,
O-8,F,B,0,,
O-9,F,B,0,,
O-10,F,B,0,,
W-1,F,B,74,,
W-2,F,B,137,,
W-3,F,B,72,,
W-4,F,B,30,,
W-5,F,B,1,,
E-1,F,C,38,,
E-2,F,C,201,,
E-3,F,C,999,,
E-4,F,C,"3,936",,
E-5,F,C,"2,769",,
E-6,F,C,"1,896",,
E-7,F,C,"1,181",,
E-8,F,C,278,,
E-9,F,C,51,,
O-1,F,C,193,,
O-2,F,C,449,,
O-3,F,C,"1,229",,
O-4,F,C,632,,
O-5,F,C,296,,
O-6,F,C,74,,
O-7,F,C,1,,
O-8,F,C,1,,
O-9,F,C,1,,
O-10,F,C,1,,
W-1,F,C,95,,
W-2,F,C,181,,
W-3,F,C,88,,
W-4,F,C,39,,
W-5,F,C,4,,
E-1,F,D,358,,
E-2,F,D,"1,035",,
E-3,F,D,"2,875",,
E-4,F,D,"6,010",,
E-5,F,D,"3,087",,
E-6,F,D,"2,019",,
E-7,F,D,"1,371",,
E-8,F,D,373,,
E-9,F,D,105,,
O-1,F,D,393,,
O-2,F,D,503,,
O-3,F,D,"1,592",,
O-4,F,D,804,,
O-5,F,D,536,,
O-6,F,D,258,,
O-7,F,D,4,,
O-8,F,D,4,,
O-9,F,D,0,,
O-10,F,D,0,,
W-1,F,D,92,,
W-2,F,D,122,,
W-3,F,D,72,,
W-4,F,D,64,,
W-5,F,D,10,,
